"file","field_name","description","example"
"public_tag_labels_v01.csv","tag_type","Public tag category used in record_tags_v01.csv.","event"
"public_tag_labels_v01.csv","tag_id","Controlled vocabulary ID used in record_tags_v01.csv.","BANDUNG_1955"
"public_tag_labels_v01.csv","preferred_label_en","English display label for public website facets and record pages.","Bandung Conference, 1955"
"public_tag_labels_v01.csv","preferred_label_jp","Japanese display label for public website facets and record pages.","バンドン会議（1955年）"
"public_tag_labels_v01.csv","vocabulary_source","Controlled vocabulary file from which the label was drawn.","controlled_vocabulary_events_v12.csv"
"public_tag_labels_missing_v01.csv","tag_type","Tag category for missing label review.","keyword"
"public_tag_labels_missing_v01.csv","tag_id","Tag ID without a matched controlled vocabulary label.","SAMPLE_TAG"
"public_tag_labels_missing_v01.csv","record_count","Number of records using the unmatched tag.","2"
"public_tag_labels_missing_v01.csv","issue","Reason this row requires review.","NO_MATCHING_CONTROLLED_VOCABULARY_LABEL"
