"record_id","legacy_archive_id","current_title_jp","match_count","matched_mofa_material_ids","matched_titles_jp","status","error"
"legacy_2016_2224","2016-2224","中東情勢","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2012_3120","2012-3120","中東情勢","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2012_3121","2012-3121","中東情勢","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2012_3122","2012-3122","中東情勢","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2012_3153","2012-3153","中東情勢","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2011_0082","2011-0082","カンボディア問題","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2011_0092","2011-0092","カンボディア問題（含、カンボディア民族連合王国政府）","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2013_2495","2013-2495","中共・インド国境紛争","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2013_3457","2013-3457","中共・インド国境紛争","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2014_3238","2014-3238","アフガニスタン問題","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2016_1363","2016-1363","中東問題/紅海における爆雷爆発事件","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2017_0685","2017-0685","中東問題","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2018_0150","2018-0150","イラン・イラク問題","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2019_0762","2019-0762","イラン・イラク問題","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
